"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_domicilio","descripcion_tipo_domicilio","calle","numero","localidad","provincia","codigo_postal"
"1984671","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","IMBSAS","L","LEGAL","CRAIG PJE.","726","CAPITAL FEDERAL","CAPITAL FEDERAL","1424"
"1984672","50","SOC. ANONIMA","HHSS","L","LEGAL","ELCANO AV.","3925","CAPITAL FEDERAL","CAPITAL FEDERAL","1427"
"1984673","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TUTIENDA","L","LEGAL","COSTA RICA","5658","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1984674","50","SOC. ANONIMA","ALESGIT","L","LEGAL","VALLESE, FELIPE","3025","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984675","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","W.MAX","L","LEGAL","PAISANDU","567","CAPITAL FEDERAL","",""
"1984676","50","SOC. ANONIMA","ALMAJEM","L","LEGAL","RIVADAVIA AV.","7563","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984677","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","IMPORTADORA DER MENT","L","LEGAL","YERBAL","837","CAPITAL FEDERAL","CAPITAL FEDERAL","1405"
"1984678","50","SOC. ANONIMA","BROTHERS ATHLETICS","L","LEGAL","HIPOLITO YRIGOYEN","1284","CAPITAL FEDERAL","",""
"1984679","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","FOTORUN","L","LEGAL","LIBERTADOR DEL AV.","6644","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984680","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DON PERCANO","L","LEGAL","FLORIDA","259","CAPITAL FEDERAL","CAPITAL FEDERAL","1005"
"1984681","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ARTTECNICA","L","LEGAL","LARRALDE CRISOLOGO","4679","CAPITAL FEDERAL","CAPITAL FEDERAL","1430"
"1984683","50","SOC. ANONIMA","DOROTEO","L","LEGAL","VUELTA DE OBLIGADO","2596","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984684","50","SOC. ANONIMA","ARQMODULOS","L","LEGAL","JURAMENTO","5050","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1984685","50","SOC. ANONIMA","SOL WORK","L","LEGAL","FRAY J. SANTAMARIA DE ORO","2652","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
