"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","fecha_balance","fecha_presentacion","capital_informado"
"1941071","50","SOC. ANONIMA","CENTRO DE TERAPIAS AVANZADAS","20211231","20221108","100000,00"
"1941071","50","SOC. ANONIMA","CENTRO DE TERAPIAS AVANZADAS","20201231","20210924","100000,00"
"1941081","50","SOC. ANONIMA","INTERFLOW","20220430","20220823","15100000,00"
"1941081","50","SOC. ANONIMA","INTERFLOW","20210430","20210823","10100000,00"
"1941081","50","SOC. ANONIMA","INTERFLOW","20200430","20201228","7100000,00"
"1941114","140","CAMARA","ARGENTINA DE LA ENERGIA ASOCIACION CIVIL","20191231","20210614","0,00"
"1941114","140","CAMARA","ARGENTINA DE LA ENERGIA ASOCIACION CIVIL","20201231","20210614","0,00"
"1941143","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","HITACHI ENERGY ARGENTINA","20220331","20221118","510100000,00"
"1941143","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","HITACHI ENERGY ARGENTINA","20210331","20220315","510100000,00"
"1941143","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","HITACHI ENERGY ARGENTINA","20201231","20211005","510100000,00"
"1941143","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","HITACHI ENERGY ARGENTINA","20191231","20210121","510100000,00"
"1941159","80","SOCIEDAD EXTRANJERA","CAMBRIDGE UNIVERSITY PRESS(HOLDINGS) LIMITED","20210430","20210811","3594,00"
"1941159","80","SOCIEDAD EXTRANJERA","CAMBRIDGE UNIVERSITY PRESS(HOLDINGS) LIMITED","20200430","20210601","0,00"
"1941175","50","SOC. ANONIMA","EXPANSION CAPITAL","20210630","20221020","100000,00"
"1941175","50","SOC. ANONIMA","EXPANSION CAPITAL","20200630","20220914","100000,00"
"1941175","50","SOC. ANONIMA","EXPANSION CAPITAL","20190630","20200316","100000,00"
"1941191","80","SOCIEDAD EXTRANJERA","PPB COUNTERPARTY SERVICES LIMITED","20201231","20220705","3407,00"
"1941191","80","SOCIEDAD EXTRANJERA","PPB COUNTERPARTY SERVICES LIMITED","20191231","20220705","0,00"
"1941191","80","SOCIEDAD EXTRANJERA","PPB COUNTERPARTY SERVICES LIMITED","20211231","20220705","0,00"
"1941283","50","SOC. ANONIMA","WE TAKE","20211231","20220818","100000,00"
"1941283","50","SOC. ANONIMA","WE TAKE","20191231","20211215","100000,00"
"1941283","50","SOC. ANONIMA","WE TAKE","20201231","20211215","100000,00"
"1941305","50","SOC. ANONIMA","DEKA LUXURY","20201231","20220303","300000,00"
"1941305","50","SOC. ANONIMA","DEKA LUXURY","20191231","20220303","300000,00"
"1941385","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","NEWSAN FOOD","20201231","20220816","400000,00"
"1941385","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","NEWSAN FOOD","20191231","20220719","400000,00"
"1941385","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","NEWSAN FOOD","20211231","20220713","400000,00"
"1941409","50","SOC. ANONIMA","FELHU","20191231","20230202","12000,00"
"1941409","50","SOC. ANONIMA","FELHU","20201231","20230202","12000,00"
