"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_asamblea","descripcion_tipo_asamblea","numero_asamblea","fecha_realizacion","fecha_presentacion"
"1944045","50","SOC. ANONIMA","TRUGYNAR","O","Ordinaria","","20200309","20221213"
"1944045","50","SOC. ANONIMA","TRUGYNAR","O","Ordinaria","","20210205","20221213"
"1944140","50","SOC. ANONIMA","PASVAHL","O","Ordinaria","","20191204","20210407"
"1944140","50","SOC. ANONIMA","PASVAHL","O","Ordinaria","","20201204","20210407"
"1944140","50","SOC. ANONIMA","PASVAHL","O","Ordinaria","","20211206","20221020"
"1944228","100","ASOCIACION CIVIL","ASOCIAC ARGENTI DE ESTETIC ONCOLOG- AADEO ASOCIAC CIVIL","O","Ordinaria","9358934","20200619","20220317"
"1944228","100","ASOCIACION CIVIL","ASOCIAC ARGENTI DE ESTETIC ONCOLOG- AADEO ASOCIAC CIVIL","O","Ordinaria","9175825","20200619","20201201"
"1944228","100","ASOCIACION CIVIL","ASOCIAC ARGENTI DE ESTETIC ONCOLOG- AADEO ASOCIAC CIVIL","O","Ordinaria","9417493","20210618","20220708"
"1944293","50","SOC. ANONIMA","GRUPO SYNCRO","O","Ordinaria","","20201109","20220609"
"1944293","50","SOC. ANONIMA","GRUPO SYNCRO","O","Ordinaria","","20220419","20220616"
"1944323","50","SOC. ANONIMA","ANDES PAMPA","O","Ordinaria","","20201021","20220118"
"1944323","50","SOC. ANONIMA","ANDES PAMPA","O","Ordinaria","","20211021","20230111"
"1944391","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","QUIERO NATURAL TIENDA","O","Ordinaria","","20211025","20220203"
"1944391","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","QUIERO NATURAL TIENDA","O","Ordinaria","","20221227","20230116"
"1944416","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","GSJ NEUMATICOS","O","Ordinaria","","20220831","20230113"
"1944528","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","PAGOS FUTUROS AR","O","Ordinaria","","20210805","20220803"
"1944535","50","SOC. ANONIMA","THE STAGE COMPANY","O","Ordinaria","","20210811","20211229"
